"";"nimi";"koodi";"paavo.vuosi.offset";"aggr";"weight";"ratio.base"
"1";"Postinumerolalueen nimi";"nimi";NA;"";"";""
"2";"Postinumeroalue";"pono";NA;"";"";""
"3";"Paavo-datan vuosi";"vuosi";NA;"";"";""
"4";"Postinumeroalueen pinta-ala";"pinta_ala";NA;"sum";"";""
"5";"X-koordinaatti";"euref_x";NA;"min";"";""
"6";"Y-koordinaatti";"euref_y";NA;"min";"";""
"7";"Kuntanumero";"kuntano";NA;"min";"";""
"8";"Asukkaat yhteensä HE";"he_vakiy";-2;"sum";"";""
"9";"Naiset HE";"he_naiset";-2;"sum";"";"he_vakiy"
"10";"Miehet HE";"he_miehet";-2;"sum";"";"he_vakiy"
"11";"Asukkaiden keski-ikä HE";"he_kika";-2;"mean";"he_vakiy";""
"12";"0-2-vuotiaat HE";"he_0_2";-2;"sum";"";"he_vakiy"
"13";"3-6-vuotiaat HE";"he_3_6";-2;"sum";"";"he_vakiy"
"14";"7-12-vuotiaat HE";"he_7_12";-2;"sum";"";"he_vakiy"
"15";"13-15-vuotiaat HE";"he_13_15";-2;"sum";"";"he_vakiy"
"16";"16-17-vuotiaat HE";"he_16_17";-2;"sum";"";"he_vakiy"
"17";"18-19-vuotiaat HE";"he_18_19";-2;"sum";"";"he_vakiy"
"18";"20-24-vuotiaat HE";"he_20_24";-2;"sum";"";"he_vakiy"
"19";"25-29-vuotiaat HE";"he_25_29";-2;"sum";"";"he_vakiy"
"20";"30-34-vuotiaat HE";"he_30_34";-2;"sum";"";"he_vakiy"
"21";"35-39-vuotiaat HE";"he_35_39";-2;"sum";"";"he_vakiy"
"22";"40-44-vuotiaat HE";"he_40_44";-2;"sum";"";"he_vakiy"
"23";"45-49-vuotiaat HE";"he_45_49";-2;"sum";"";"he_vakiy"
"24";"50-54-vuotiaat HE";"he_50_54";-2;"sum";"";"he_vakiy"
"25";"55-59-vuotiaat HE";"he_55_59";-2;"sum";"";"he_vakiy"
"26";"60-64-vuotiaat HE";"he_60_64";-2;"sum";"";"he_vakiy"
"27";"65-69-vuotiaat HE";"he_65_69";-2;"sum";"";"he_vakiy"
"28";"70-74-vuotiaat HE";"he_70_74";-2;"sum";"";"he_vakiy"
"29";"75-79-vuotiaat HE";"he_75_79";-2;"sum";"";"he_vakiy"
"30";"80-84-vuotiaat HE";"he_80_84";-2;"sum";"";"he_vakiy"
"31";"85 vuotta täyttäneet HE";"he_85_";-2;"sum";"";"he_vakiy"
"32";"18 vuotta täyttäneet yhteensä KO";"ko_ika18y";-3;"sum";"";""
"33";"Perusasteen suorittaneet KO";"ko_perus";-3;"sum";"";"ko_ika18y"
"34";"Koulutetut yhteensä KO";"ko_koul";-3;"sum";"";"ko_ika18y"
"35";"Ylioppilastutkinnon suorittaneet KO";"ko_yliop";-3;"sum";"";"ko_ika18y"
"36";"Ammatillisen tutkinnon suorittaneet KO";"ko_ammat";-3;"sum";"";"ko_ika18y"
"37";"Alemman korkeakoulututkinnon suorittaneet KO";"ko_al_kork";-3;"sum";"";"ko_ika18y"
"38";"Ylemmän korkeakoulututkinnon suorittaneet KO";"ko_yl_kork";-3;"sum";"";"ko_ika18y"
"39";"18 vuotta täyttäneet yhteensä HR";"hr_tuy";-3;"sum";"";""
"40";"Asukkaiden keskitulot HR";"hr_ktu";-3;"mean";"hr_tuy";""
"41";"Asukkaiden mediaanitulot HR";"hr_mtu";-3;"mean";"hr_tuy";""
"42";"Alimpaan tuloluokkaan kuuluvat asukkaat HR";"hr_pi_tul";-3;"sum";"";"hr_tuy"
"43";"Keskimmäiseen tuloluokkaan kuuluvat asukkaat HR";"hr_ke_tul";-3;"sum";"";"hr_tuy"
"44";"Ylimpään tuloluokkaan kuuluvat asukkaat HR";"hr_hy_tul";-3;"sum";"";"hr_tuy"
"45";"Asukkaiden ostovoimakertymä HR";"hr_ovy";-3;"sum";"";""
"46";"Taloudet yhteensä TE";"te_taly";-2;"sum";"";""
"47";"Talouksien keskikoko TE";"te_takk";-2;"mean";"te_taly";""
"48";"Asumisväljyys TE";"te_as_valj";-2;"mean";"te_taly";""
"49";"Nuorten yksinasuvien taloudet TE";"te_nuor";-2;"sum";"";"te_taly"
"50";"Lapsettomat nuorten parien taloudet TE";"te_eil_np";-2;"sum";"";"te_taly"
"51";"Lapsitaloudet TE";"te_laps";-2;"sum";"";"te_taly"
"52";"Pienten lasten taloudet TE";"te_plap";-2;"sum";"";"te_taly"
"53";"Alle kouluikäisten lasten taloudet TE";"te_aklap";-2;"sum";"";"te_taly"
"54";"Kouluikäisten lasten taloudet TE";"te_klap";-2;"sum";"";"te_taly"
"55";"Teini-ikäisten lasten taloudet TE";"te_teini";-2;"sum";"";"te_taly"
"56";"Aikuisten taloudet TE";"te_aik";-2;"sum";"";"te_taly"
"57";"Eläkeläisten taloudet TE";"te_elak";-2;"sum";"";"te_taly"
"58";"Omistusasunnoissa asuvat taloudet TE";"te_omis_as";-2;"sum";"";"te_taly"
"59";"Vuokra-asunnoissa asuvat taloudet TE";"te_vuok_as";-2;"sum";"";"te_taly"
"60";"Muissa asunnoissa asuvat taloudet TE";"te_muu_as";-2;"sum";"";"te_taly"
"61";"Taloudet yhteensä TR";"tr_kuty";-3;"sum";"";""
"62";"Talouksien keskitulot TR";"tr_ktu";-3;"mean";"tr_kuty";""
"63";"Talouksien mediaanitulot TR";"tr_mtu";-3;"mean";"tr_kuty";""
"64";"Alimpaan tuloluokkaan kuuluvat taloudet TR";"tr_pi_tul";-3;"sum";"";"tr_kuty"
"65";"Keskimmäiseen tuloluokkaan kuuluvat taloudet TR";"tr_ke_tul";-3;"sum";"";"tr_kuty"
"66";"Ylimpään tuloluokkaan kuuluvat taloudet TR";"tr_hy_tul";-3;"sum";"";"tr_kuty"
"67";"Talouksien ostovoimakertymä TR";"tr_ovy";-3;"sum";"";""
"68";"Kesämökit yhteensä RA";"ra_ke";-2;"sum";"";"ra_raky"
"69";"Rakennukset yhteensä RA";"ra_raky";-2;"sum";"";""
"70";"Muut rakennukset yhteensä RA";"ra_muut";-2;"sum";"";"ra_raky"
"71";"Asuinrakennukset yhteensä RA";"ra_asrak";-2;"sum";"";"ra_raky"
"72";"Asunnot RA";"ra_asunn";-2;"sum";"";""
"73";"Asuntojen keskipinta-ala RA";"ra_as_kpa";-2;"mean";"ra_asunn";""
"74";"Pientaloasunnot RA";"ra_pt_as";-2;"sum";"";"ra_asunn"
"75";"Kerrostaloasunnot RA";"ra_kt_as";-2;"sum";"";"ra_asunn"
"76";"Työpaikat yhteensä TP";"tp_tyopy";-3;"sum";"";""
"77";"Alkutuotannon työpaikat TP";"tp_alku_a";-3;"sum";"";"tp_tyopy"
"78";"Jalostuksen työpaikat TP";"tp_jalo_bf";-3;"sum";"";"tp_tyopy"
"79";"Palveluiden työpaikat TP";"tp_palv_gu";-3;"sum";"";"tp_tyopy"
"80";"A Maatalous metsätalous ja kalatalous TP";"tp_a_maat";-3;"sum";"";"tp_tyopy"
"81";"B Kaivostoiminta ja louhinta TP";"tp_b_kaiv";-3;"sum";"";"tp_tyopy"
"82";"C Teollisuus TP";"tp_c_teol";-3;"sum";"";"tp_tyopy"
"83";"D Sähkö- kaasu- ja lämpöhuolto jäähdytysliiketoiminta TP";"tp_d_ener";-3;"sum";"";"tp_tyopy"
"84";"E Vesihuolto viemäri- ja jätevesihuolto ja muu ympäristön puhtaanapito TP";"tp_e_vesi";-3;"sum";"";"tp_tyopy"
"85";"F Rakentaminen TP";"tp_f_rake";-3;"sum";"";"tp_tyopy"
"86";"G Tukku- ja vähittäiskauppa moottoriajoneuvojen ja moottoripyörien korjaus TP";"tp_g_kaup";-3;"sum";"";"tp_tyopy"
"87";"H Kuljetus ja varastointi TP";"tp_h_kulj";-3;"sum";"";"tp_tyopy"
"88";"I Majoitus- ja ravitsemistoiminta TP";"tp_i_majo";-3;"sum";"";"tp_tyopy"
"89";"J Informaatio ja viestintä TP";"tp_j_info";-3;"sum";"";"tp_tyopy"
"90";"K Rahoitus- ja vakuutustoiminta TP";"tp_k_raho";-3;"sum";"";"tp_tyopy"
"91";"L Kiinteistöalan toiminta TP";"tp_l_kiin";-3;"sum";"";"tp_tyopy"
"92";"M Ammatillinen tieteellinen ja tekninen toiminta TP";"tp_m_erik";-3;"sum";"";"tp_tyopy"
"93";"N Hallinto- ja tukipalvelutoiminta TP";"tp_n_hall";-3;"sum";"";"tp_tyopy"
"94";"O Julkinen hallinto ja maanpuolustus pakollinen sosiaalivakuutus TP";"tp_o_julk";-3;"sum";"";"tp_tyopy"
"95";"P Koulutus TP";"tp_p_koul";-3;"sum";"";"tp_tyopy"
"96";"Q Terveys- ja sosiaalipalvelut TP";"tp_q_terv";-3;"sum";"";"tp_tyopy"
"97";"R Taiteet viihde ja virkistys TP";"tp_r_taid";-3;"sum";"";"tp_tyopy"
"98";"S Muu palvelutoiminta TP";"tp_s_muup";-3;"sum";"";"tp_tyopy"
"99";"T Kotitalouksien toiminta työnantajina kotitalouksien eriyttämätön toiminta tavaroiden ja palveluiden tuottamiseksi omaan käyttöön TP";"tp_t_koti";-3;"sum";"";"tp_tyopy"
"100";"U Kansainvälisten organisaatioiden ja toimielinten toiminta TP";"tp_u_kans";-3;"sum";"";"tp_tyopy"
"101";"X Toimiala tuntematon TP";"tp_x_tunt";-3;"sum";"";"tp_tyopy"
"102";"Asukkaat yhteensä PT";"pt_vakiy";-3;"sum";"";""
"103";"Työvoima PT";"pt_tyovy";-3;"sum";"";"pt_vakiy"
"104";"Työlliset PT";"pt_tyoll";-3;"sum";"";"pt_vakiy"
"105";"Työttömät PT";"pt_tyott";-3;"sum";"";"pt_vakiy"
"106";"Työvoiman ulkopuolella olevat PT";"pt_tyovu";-3;"sum";"";"pt_vakiy"
"107";"Lapset 0-14 -vuotiaat PT";"pt_0_14";-3;"sum";"";"pt_vakiy"
"108";"Opiskelijat PT";"pt_opisk";-3;"sum";"";"pt_vakiy"
"109";"Eläkeläiset PT";"pt_elakel";-3;"sum";"";"pt_vakiy"
"110";"Muut PT";"pt_muut";-3;"sum";"";"pt_vakiy"
